,SITE_NAME,BEGIN,END,KWH_PERIOD,PERIOD_EUR,PERIOD,PERIOD_IN_DAYS,AVG_KWH_PER_DAY,TOTAL_INVOICE
0,0001BB,01/01/2018,31/01/2018,2447.0,"316,46",30 days,30,81.56666666666666,35
1,0001BB,01/02/2018,28/02/2018,2211.0,"286,82",27 days,27,81.88888888888889,35
2,0001BB,01/03/2018,31/03/2018,2450.0,"317,32",30 days,30,81.66666666666667,35
3,0001BB,01/04/2018,30/04/2018,2431.0,"315,00",29 days,29,83.82758620689656,35
4,0001BB,01/05/2018,31/05/2018,2574.0,"333,37",30 days,30,85.8,35
5,0001BB,01/06/2018,30/06/2018,2830.0,"365,27",29 days,29,97.58620689655173,35
6,0001BB,01/07/2018,31/07/2018,3028.0,"390,39",30 days,30,100.93333333333334,35
7,0001BB,01/08/2018,31/08/2018,3053.0,"393,99",30 days,30,101.76666666666667,35
8,0001BB,01/09/2018,30/09/2018,2915.0,"378,35",29 days,29,100.51724137931035,35
9,0001BB,01/10/2018,31/10/2018,2986.0,"387,05",30 days,30,99.53333333333333,35
10,0001BB,01/11/2018,30/11/2018,2871.0,"372,47",29 days,29,99.0,35
11,0001BB,01/12/2018,31/12/2018,3086.0,"399,30",30 days,30,102.86666666666666,35
12,0001BB,01/01/2019,31/01/2019,3094.0,"381,40",30 days,30,103.13333333333334,35
13,0001BB,01/02/2019,28/02/2019,2767.0,"345,87",27 days,27,102.48148148148148,35
14,0001BB,01/03/2019,31/03/2019,3059.0,"378,18",30 days,30,101.96666666666667,35
15,0001BB,01/04/2019,30/04/2019,2761.0,"340,84",29 days,29,95.20689655172414,35
16,0001BB,01/05/2019,31/05/2019,2844.0,"349,26",30 days,30,94.8,35
17,0001BB,01/06/2019,30/06/2019,3009.0,"369,19",29 days,29,103.75862068965517,35
18,0001BB,01/07/2019,31/07/2019,3016.0,"371,20",30 days,30,100.53333333333333,35
19,0001BB,01/08/2019,31/08/2019,3089.0,"380,42",30 days,30,102.96666666666667,35
20,0001BB,01/09/2019,30/09/2019,2914.0,"361,36",29 days,29,100.48275862068965,35
21,0001BB,01/10/2019,31/10/2019,2963.0,"366,70",30 days,30,98.76666666666667,35
22,0001BB,01/11/2019,30/11/2019,2797.0,"345,89",29 days,29,96.44827586206897,35
23,0001BB,01/12/2019,31/12/2019,2859.0,"353,08",30 days,30,95.3,35
24,0001BB,01/01/2020,31/01/2020,2863.0,"414,93",30 days,30,95.43333333333334,35
25,0001BB,01/02/2020,29/02/2020,2663.0,"387,22",28 days,28,95.10714285714286,35
26,0001BB,01/03/2020,31/03/2020,2759.0,"403,25",30 days,30,91.96666666666667,35
27,0001BB,01/04/2020,30/04/2020,2680.0,"390,79",29 days,29,92.41379310344827,35
28,0001BB,01/05/2020,31/05/2020,2797.0,"407,48",30 days,30,93.23333333333333,35
29,0001BB,01/06/2020,30/06/2020,2796.0,"407,77",29 days,29,96.41379310344827,35
30,0001BB,01/07/2020,31/07/2020,2952.0,"429,09",30 days,30,98.4,35
31,0001BB,01/08/2020,31/08/2020,3014.0,"435,98",30 days,30,100.46666666666667,35
32,0001BB,01/09/2020,30/09/2020,2857.0,"411,97",29 days,29,98.51724137931035,35
33,0001BB,01/10/2020,31/10/2020,2905.0,"413,41",30 days,30,96.83333333333333,35
34,0001BB,01/11/2020,30/11/2020,2755.0,"383,02",29 days,29,95.0,35
35,0001BR,01/01/2018,31/01/2018,2438.0,"266,43",30 days,30,81.26666666666667,35
36,0001BR,01/02/2018,28/02/2018,2211.0,"242,33",27 days,27,81.88888888888889,35
37,0001BR,01/03/2018,31/03/2018,2453.0,"267,95",30 days,30,81.76666666666667,35
38,0001BR,01/04/2018,30/04/2018,2414.0,"263,78",29 days,29,83.24137931034483,35
39,0001BR,01/05/2018,31/05/2018,2517.0,"274,62",30 days,30,83.9,35
40,0001BR,01/06/2018,30/06/2018,2461.0,"268,63",29 days,29,84.86206896551724,35
41,0001BR,01/07/2018,31/07/2018,2560.0,"279,26",30 days,30,85.33333333333333,35
42,0001BR,01/08/2018,31/08/2018,2597.0,"283,07",30 days,30,86.56666666666666,35
43,0001BR,01/09/2018,30/09/2018,2436.0,"267,99",29 days,29,84.0,35
44,0001BR,01/10/2018,31/10/2018,2497.0,"274,50",30 days,30,83.23333333333333,35
45,0001BR,01/11/2018,30/11/2018,2397.0,"263,82",29 days,29,82.65517241379311,35
46,0001BR,01/12/2018,31/12/2018,2452.0,"269,69",30 days,30,81.73333333333333,35
47,0001BR,01/01/2019,31/01/2019,2460.0,"264,03",30 days,30,82.0,35
48,0001BR,01/02/2019,28/02/2019,2229.0,"239,96",27 days,27,82.55555555555556,35
49,0001BR,01/03/2019,31/03/2019,2475.0,"265,56",30 days,30,82.5,35
50,0001BR,01/04/2019,30/04/2019,2410.0,"258,76",29 days,29,83.10344827586206,35
51,0001BR,01/05/2019,31/05/2019,2508.0,"268,92",30 days,30,83.6,35
52,0001BR,01/06/2019,30/06/2019,2529.0,"270,94",29 days,29,87.20689655172414,35
53,0001BR,01/07/2019,31/07/2019,2593.0,"277,63",30 days,30,86.43333333333334,35
54,0001BR,01/08/2019,31/08/2019,2603.0,"278,60",30 days,30,86.76666666666667,35
55,0001BR,01/09/2019,30/09/2019,2595.0,"277,20",29 days,29,89.48275862068965,35
56,0001BR,01/10/2019,31/10/2019,2708.0,"288,79",30 days,30,90.26666666666667,35
57,0001BR,01/11/2019,30/11/2019,2595.0,"277,07",29 days,29,89.48275862068965,35
58,0001BR,01/12/2019,31/12/2019,2648.0,"282,57",30 days,30,88.26666666666667,35
59,0001BR,01/01/2020,31/01/2020,2600.0,"330,81",30 days,30,86.66666666666667,35
60,0001BR,01/02/2020,29/02/2020,2445.0,"311,57",28 days,28,87.32142857142857,35
61,0001BR,01/03/2020,31/03/2020,2609.0,"330,32",30 days,30,86.96666666666667,35
62,0001BR,01/04/2020,30/04/2020,2629.0,"332,70",29 days,29,90.65517241379311,35
63,0001BR,01/05/2020,31/05/2020,2735.0,"345,77",30 days,30,91.16666666666667,35
64,0001BR,01/06/2020,30/06/2020,2687.0,"339,78",29 days,29,92.65517241379311,35
65,0001BR,01/07/2020,31/07/2020,2854.0,"360,33",30 days,30,95.13333333333334,35
66,0001BR,01/08/2020,31/08/2020,2886.0,"364,21",30 days,30,96.2,35
67,0001BR,01/09/2020,30/09/2020,2761.0,"348,79",29 days,29,95.20689655172414,35
68,0001BR,01/10/2020,31/10/2020,2802.0,"353,90",30 days,30,93.4,35
69,0001BR,01/11/2020,30/11/2020,2677.0,"338,44",29 days,29,92.3103448275862,35
70,0001KO,01/01/2018,31/01/2018,2179.0,"268,53",30 days,30,72.63333333333334,35
71,0001KO,01/02/2018,28/02/2018,1971.0,"243,47",27 days,27,73.0,35
72,0001KO,01/03/2018,31/03/2018,2191.0,"269,98",30 days,30,73.03333333333333,35
73,0001KO,01/04/2018,30/04/2018,2370.0,"291,55",29 days,29,81.72413793103448,35
74,0001KO,01/05/2018,31/05/2018,2647.0,"324,92",30 days,30,88.23333333333333,35
75,0001KO,01/06/2018,30/06/2018,2634.0,"323,35",29 days,29,90.82758620689656,35
76,0001KO,01/07/2018,31/07/2018,2799.0,"343,43",30 days,30,93.3,35
77,0001KO,01/08/2018,31/08/2018,2908.0,"356,57",30 days,30,96.93333333333334,35
78,0001KO,01/09/2018,30/09/2018,2483.0,"307,29",29 days,29,85.62068965517241,35
79,0001KO,01/10/2018,31/10/2018,2297.0,"284,72",30 days,30,76.56666666666666,35
80,0001KO,01/11/2018,30/11/2018,2130.0,"264,46",29 days,29,73.44827586206897,35
81,0001KO,01/12/2018,31/12/2018,2489.0,"308,02",30 days,30,82.96666666666667,35
82,0001KO,01/01/2019,31/01/2019,2679.0,"364,03",30 days,30,89.3,35
83,0001KO,01/02/2019,28/02/2019,2429.0,"330,63",27 days,27,89.96296296296296,35
84,0001KO,01/03/2019,31/03/2019,2648.0,"359,89",30 days,30,88.26666666666667,35
85,0001KO,01/04/2019,30/04/2019,2478.0,"337,18",29 days,29,85.44827586206897,35
86,0001KO,01/05/2019,31/05/2019,2535.0,"344,79",30 days,30,84.5,35
87,0001KO,01/06/2019,30/06/2019,2884.0,"391,43",29 days,29,99.44827586206897,35
88,0001KO,01/07/2019,31/07/2019,2872.0,"389,82",30 days,30,95.73333333333333,35
89,0001KO,01/08/2019,31/08/2019,2978.0,"403,99",30 days,30,99.26666666666667,35
90,0001KO,01/09/2019,30/09/2019,2529.0,"343,99",29 days,29,87.20689655172414,35
91,0001KO,01/10/2019,31/10/2019,2487.0,"338,38",30 days,30,82.9,35
92,0001KO,01/11/2019,30/11/2019,2384.0,"324,62",29 days,29,82.20689655172414,35
93,0001KO,01/12/2019,31/12/2019,2463.0,"335,17",30 days,30,82.1,35
94,0001KO,01/01/2020,31/01/2020,2454.0,"331,90",30 days,30,81.8,35
95,0001KO,01/02/2020,29/02/2020,2377.0,"321,70",28 days,28,84.89285714285714,35
96,0001KO,01/03/2020,31/03/2020,2596.0,"350,71",30 days,30,86.53333333333333,35
97,0001KO,01/04/2020,30/04/2020,2675.0,"365,40",29 days,29,92.24137931034483,35
98,0001KO,01/05/2020,31/05/2020,2781.0,"375,22",30 days,30,92.7,35
99,0001KO,01/06/2020,30/06/2020,2989.0,"402,77",29 days,29,103.06896551724138,35
100,0001KO,01/07/2020,31/07/2020,3322.0,"446,89",30 days,30,110.73333333333333,35
101,0001KO,01/08/2020,31/08/2020,3109.0,"418,67",30 days,30,103.63333333333334,35
102,0001KO,01/09/2020,30/09/2020,2911.0,"392,44",29 days,29,100.37931034482759,35
103,0001KO,01/10/2020,31/10/2020,2747.0,"370,72",30 days,30,91.56666666666666,35
104,0001KO,01/11/2020,30/11/2020,2625.0,"354,55",29 days,29,90.51724137931035,35
105,0002BB,01/01/2018,31/01/2018,2376.0,"310,46",30 days,30,79.2,35
106,0002BB,01/02/2018,28/02/2018,2160.0,"283,07",27 days,27,80.0,35
107,0002BB,01/03/2018,31/03/2018,2390.0,"313,01",30 days,30,79.66666666666667,35
108,0002BB,01/04/2018,30/04/2018,2378.0,"311,80",29 days,29,82.0,35
109,0002BB,01/05/2018,31/05/2018,2529.0,"330,93",30 days,30,84.3,35
110,0002BB,01/06/2018,30/06/2018,2790.0,"363,65",29 days,29,96.20689655172414,35
111,0002BB,01/07/2018,31/07/2018,2988.0,"388,77",30 days,30,99.6,35
112,0002BB,01/08/2018,31/08/2018,3019.0,"393,19",30 days,30,100.63333333333334,35
113,0002BB,01/09/2018,30/09/2018,2873.0,"376,62",29 days,29,99.06896551724138,35
114,0002BB,01/10/2018,31/10/2018,2940.0,"384,79",30 days,30,98.0,35
115,0002BB,01/11/2018,30/11/2018,2821.0,"369,46",29 days,29,97.27586206896552,35
116,0002BB,01/12/2018,31/12/2018,3029.0,"395,45",30 days,30,100.96666666666667,35
117,0002BB,01/01/2019,31/01/2019,3033.0,"378,02",30 days,30,101.1,35
118,0002BB,01/02/2019,28/02/2019,2684.0,"339,51",27 days,27,99.4074074074074,35
119,0002BB,01/03/2019,31/03/2019,3008.0,"376,16",30 days,30,100.26666666666667,35
120,0002BB,01/04/2019,30/04/2019,2663.0,"332,01",29 days,29,91.82758620689656,35
121,0002BB,01/05/2019,31/05/2019,2741.0,"339,86",30 days,30,91.36666666666666,35
122,0002BB,01/06/2019,30/06/2019,2952.0,"364,23",29 days,29,101.79310344827586,35
123,0002BB,01/07/2019,31/07/2019,2914.0,"363,68",30 days,30,97.13333333333334,35
124,0002BB,01/08/2019,31/08/2019,2965.0,"368,84",30 days,30,98.83333333333333,35
125,0002BB,01/09/2019,30/09/2019,2819.0,"352,21",29 days,29,97.20689655172414,35
126,0002BB,01/10/2019,31/10/2019,2927.0,"364,86",30 days,30,97.56666666666666,35
127,0002BB,01/11/2019,30/11/2019,2773.0,"346,35",29 days,29,95.62068965517241,35
128,0002BB,01/12/2019,31/12/2019,2822.0,"351,90",30 days,30,94.06666666666666,35
129,0002BB,01/01/2020,31/01/2020,2830.0,"406,02",30 days,30,94.33333333333333,35
130,0002BB,01/02/2020,29/02/2020,2625.0,"378,86",28 days,28,93.75,35
131,0002BB,01/03/2020,31/03/2020,2734.0,"396,33",30 days,30,91.13333333333334,35
132,0002BB,01/04/2020,30/04/2020,2644.0,"382,45",29 days,29,91.17241379310344,35
133,0002BB,01/05/2020,31/05/2020,2753.0,"397,69",30 days,30,91.76666666666667,35
134,0002BB,01/06/2020,30/06/2020,2763.0,"399,57",29 days,29,95.27586206896552,35
135,0002BB,01/07/2020,31/07/2020,2904.0,"418,43",30 days,30,96.8,35
136,0002BB,01/08/2020,31/08/2020,2962.0,"425,38",30 days,30,98.73333333333333,35
137,0002BB,01/09/2020,30/09/2020,2828.0,"406,82",29 days,29,97.51724137931035,35
138,0002BB,01/10/2020,31/10/2020,2875.0,"412,79",30 days,30,95.83333333333333,35
139,0002BB,01/11/2020,30/11/2020,2739.0,"381,14",29 days,29,94.44827586206897,35
140,0002BR,01/01/2018,31/01/2018,2187.0,"239,96",30 days,30,72.9,35
141,0002BR,01/02/2018,28/02/2018,1985.0,"218,51",27 days,27,73.51851851851852,35
142,0002BR,01/03/2018,31/03/2018,2209.0,"242,16",30 days,30,73.63333333333334,35
143,0002BR,01/04/2018,30/04/2018,2151.0,"235,47",29 days,29,74.17241379310344,35
144,0002BR,01/05/2018,31/05/2018,2251.0,"245,79",30 days,30,75.03333333333333,35
145,0002BR,01/06/2018,30/06/2018,2207.0,"241,00",29 days,29,76.10344827586206,35
146,0002BR,01/07/2018,31/07/2018,2290.0,"249,83",30 days,30,76.33333333333333,35
147,0002BR,01/08/2018,31/08/2018,2316.0,"252,45",30 days,30,77.2,35
148,0002BR,01/09/2018,30/09/2018,2172.0,"239,10",29 days,29,74.89655172413794,35
149,0002BR,01/10/2018,31/10/2018,2216.0,"244,03",30 days,30,73.86666666666666,35
150,0002BR,01/11/2018,30/11/2018,2313.0,"254,38",29 days,29,79.75862068965517,35
151,0002BR,01/12/2018,31/12/2018,2659.0,"290,96",30 days,30,88.63333333333334,35
152,0002BR,01/01/2019,31/01/2019,2662.0,"284,26",30 days,30,88.73333333333333,35
153,0002BR,01/02/2019,28/02/2019,2409.0,"257,94",27 days,27,89.22222222222223,35
154,0002BR,01/03/2019,31/03/2019,2707.0,"288,61",30 days,30,90.23333333333333,35
155,0002BR,01/04/2019,30/04/2019,2624.0,"279,83",29 days,29,90.48275862068965,35
156,0002BR,01/05/2019,31/05/2019,2715.0,"289,18",30 days,30,90.5,35
157,0002BR,01/06/2019,30/06/2019,2741.0,"291,44",29 days,29,94.51724137931035,35
158,0002BR,01/07/2019,31/07/2019,2812.0,"298,72",30 days,30,93.73333333333333,35
159,0002BR,01/08/2019,31/08/2019,2537.0,"269,82",30 days,30,84.56666666666666,35
160,0002BR,01/09/2019,30/09/2019,2414.0,"257,19",29 days,29,83.24137931034483,35
161,0002BR,01/10/2019,31/10/2019,2489.0,"265,07",30 days,30,82.96666666666667,35
162,0002BR,01/11/2019,30/11/2019,2410.0,"257,13",29 days,29,83.10344827586206,35
163,0002BR,01/12/2019,31/12/2019,2493.0,"265,86",30 days,30,83.1,35
164,0002BR,01/01/2020,31/01/2020,2513.0,"319,43",30 days,30,83.76666666666667,35
165,0002BR,01/02/2020,29/02/2020,2400.0,"305,19",28 days,28,85.71428571428571,35
166,0002BR,01/03/2020,31/03/2020,2646.0,"333,77",30 days,30,88.2,35
167,0002BR,01/04/2020,30/04/2020,2674.0,"337,00",29 days,29,92.20689655172414,35
168,0002BR,01/05/2020,31/05/2020,2651.0,"334,85",30 days,30,88.36666666666666,35
169,0002BR,01/06/2020,30/06/2020,2586.0,"326,84",29 days,29,89.17241379310344,35
170,0002BR,01/07/2020,31/07/2020,2751.0,"347,07",30 days,30,91.7,35
171,0002BR,01/08/2020,31/08/2020,2780.0,"350,62",30 days,30,92.66666666666667,35
172,0002BR,01/09/2020,30/09/2020,2660.0,"335,86",29 days,29,91.72413793103448,35
173,0002BR,01/10/2020,31/10/2020,2745.0,"346,36",30 days,30,91.5,35
174,0002BR,01/11/2020,30/11/2020,2628.0,"331,97",29 days,29,90.62068965517241,35
175,0002KO,01/01/2018,31/01/2018,2312.0,"286,36",30 days,30,77.06666666666666,35
176,0002KO,01/02/2018,28/02/2018,2086.0,"259,13",27 days,27,77.25925925925925,35
177,0002KO,01/03/2018,31/03/2018,2308.0,"285,88",30 days,30,76.93333333333334,35
178,0002KO,01/04/2018,30/04/2018,2245.0,"278,29",29 days,29,77.41379310344827,35
179,0002KO,01/05/2018,31/05/2018,2339.0,"289,61",30 days,30,77.96666666666667,35
180,0002KO,01/06/2018,30/06/2018,2278.0,"282,26",29 days,29,78.55172413793103,35
181,0002KO,01/07/2018,31/07/2018,2348.0,"290,86",30 days,30,78.26666666666667,35
182,0002KO,01/08/2018,31/08/2018,2368.0,"293,27",30 days,30,78.93333333333334,35
183,0002KO,01/09/2018,30/09/2018,2248.0,"280,57",29 days,29,77.51724137931035,35
184,0002KO,01/10/2018,31/10/2018,2300.0,"286,88",30 days,30,76.66666666666667,35
185,0002KO,01/11/2018,30/11/2018,2595.0,"322,68",29 days,29,89.48275862068965,35
186,0002KO,01/12/2018,31/12/2018,2765.0,"343,31",30 days,30,92.16666666666667,35
187,0002KO,01/01/2019,31/01/2019,2766.0,"377,48",30 days,30,92.2,35
188,0002KO,01/02/2019,28/02/2019,2500.0,"341,94",27 days,27,92.5925925925926,35
189,0002KO,01/03/2019,31/03/2019,2652.0,"362,25",30 days,30,88.4,35
190,0002KO,01/04/2019,30/04/2019,2483.0,"339,67",29 days,29,85.62068965517241,35
191,0002KO,01/05/2019,31/05/2019,2548.0,"348,35",30 days,30,84.93333333333334,35
192,0002KO,01/06/2019,30/06/2019,2514.0,"343,81",29 days,29,86.6896551724138,35
193,0002KO,01/07/2019,31/07/2019,2557.0,"349,55",30 days,30,85.23333333333333,35
194,0002KO,01/08/2019,31/08/2019,2575.0,"351,96",30 days,30,85.83333333333333,35
195,0002KO,01/09/2019,30/09/2019,2473.0,"338,33",29 days,29,85.27586206896552,35
196,0002KO,01/10/2019,31/10/2019,2550.0,"348,62",30 days,30,85.0,35
197,0002KO,01/11/2019,30/11/2019,2462.0,"336,86",29 days,29,84.89655172413794,35
198,0002KO,01/12/2019,31/12/2019,2520.0,"344,61",30 days,30,84.0,35
199,0002KO,01/01/2020,31/01/2020,2524.0,"343,21",30 days,30,84.13333333333334,35
200,0002KO,01/02/2020,29/02/2020,2437.0,"331,69",28 days,28,87.03571428571429,35
201,0002KO,01/03/2020,31/03/2020,2623.0,"356,33",30 days,30,87.43333333333334,35
202,0002KO,01/04/2020,30/04/2020,2632.0,"357,52",29 days,29,90.75862068965517,35
203,0002KO,01/05/2020,31/05/2020,2715.0,"368,52",30 days,30,90.5,35
204,0002KO,01/06/2020,30/06/2020,2655.0,"360,57",29 days,29,91.55172413793103,35
205,0002KO,01/07/2020,31/07/2020,2794.0,"378,98",30 days,30,93.13333333333334,35
206,0002KO,01/08/2020,31/08/2020,2845.0,"385,74",30 days,30,94.83333333333333,35
207,0002KO,01/09/2020,30/09/2020,2726.0,"369,97",29 days,29,94.0,35
208,0002KO,01/10/2020,31/10/2020,2797.0,"379,38",30 days,30,93.23333333333333,35
209,0002KO,01/11/2020,30/11/2020,2678.0,"363,62",29 days,29,92.34482758620689,35
210,0003BB,01/01/2018,31/01/2018,2100.0,"271,90",30 days,30,70.0,35
211,0003BB,01/02/2018,28/02/2018,1897.0,"246,46",27 days,27,70.25925925925925,35
212,0003BB,01/03/2018,31/03/2018,2103.0,"272,70",30 days,30,70.1,35
213,0003BB,01/04/2018,30/04/2018,2062.0,"267,67",29 days,29,71.10344827586206,35
214,0003BB,01/05/2018,31/05/2018,2144.0,"278,24",30 days,30,71.46666666666667,35
215,0003BB,01/06/2018,30/06/2018,2409.0,"311,78",29 days,29,83.06896551724138,35
216,0003BB,01/07/2018,31/07/2018,2675.0,"345,06",30 days,30,89.16666666666667,35
217,0003BB,01/08/2018,31/08/2018,2701.0,"348,81",30 days,30,90.03333333333333,35
218,0003BB,01/09/2018,30/09/2018,2147.0,"280,38",29 days,29,74.03448275862068,35
219,0003BB,01/10/2018,31/10/2018,3052.0,"394,40",30 days,30,101.73333333333333,35
220,0003BB,01/11/2018,30/11/2018,2527.0,"327,92",29 days,29,87.13793103448276,35
221,0003BB,01/12/2018,31/12/2018,2742.0,"354,90",30 days,30,91.4,35
222,0003BB,01/01/2019,31/01/2019,2729.0,"337,04",30 days,30,90.96666666666667,35
223,0003BB,01/02/2019,28/02/2019,2353.0,"291,99",27 days,27,87.14814814814815,35
224,0003BB,01/03/2019,31/03/2019,2587.0,"319,91",30 days,30,86.23333333333333,35
225,0003BB,01/04/2019,30/04/2019,2392.0,"296,52",29 days,29,82.48275862068965,35
226,0003BB,01/05/2019,31/05/2019,2476.0,"306,30",30 days,30,82.53333333333333,35
227,0003BB,01/06/2019,30/06/2019,2673.0,"331,24",29 days,29,92.17241379310344,35
228,0003BB,01/07/2019,31/07/2019,2849.0,"352,67",30 days,30,94.96666666666667,35
229,0003BB,01/08/2019,31/08/2019,2868.0,"354,63",30 days,30,95.6,35
230,0003BB,01/09/2019,30/09/2019,2739.0,"338,53",29 days,29,94.44827586206897,35
231,0003BB,01/10/2019,31/10/2019,2832.0,"349,45",30 days,30,94.4,35
232,0003BB,01/11/2019,30/11/2019,2700.0,"333,53",29 days,29,93.10344827586206,35
233,0003BB,01/12/2019,31/12/2019,2764.0,"341,07",30 days,30,92.13333333333334,35
234,0003BB,01/01/2020,31/01/2020,2765.0,"392,85",30 days,30,92.16666666666667,35
235,0003BB,01/02/2020,29/02/2020,2544.0,"364,42",28 days,28,90.85714285714286,35
236,0003BB,01/03/2020,31/03/2020,2671.0,"383,97",30 days,30,89.03333333333333,35
237,0003BB,01/04/2020,30/04/2020,2608.0,"373,97",29 days,29,89.93103448275862,35
238,0003BB,01/05/2020,31/05/2020,2691.0,"385,30",30 days,30,89.7,35
239,0003BB,01/06/2020,30/06/2020,2663.0,"381,63",29 days,29,91.82758620689656,35
240,0003BB,01/07/2020,31/07/2020,2789.0,"398,15",30 days,30,92.96666666666667,35
241,0003BB,01/08/2020,31/08/2020,2839.0,"404,26",30 days,30,94.63333333333334,35
242,0003BB,01/09/2020,30/09/2020,2709.0,"386,06",29 days,29,93.41379310344827,35
243,0003BB,01/10/2020,31/10/2020,2765.0,"393,20",30 days,30,92.16666666666667,35
244,0003BB,01/11/2020,30/11/2020,2642.0,"366,39",29 days,29,91.10344827586206,35
245,0003BR,01/01/2018,31/01/2018,2437.0,"266,44",30 days,30,81.23333333333333,35
246,0003BR,01/02/2018,28/02/2018,2206.0,"241,91",27 days,27,81.70370370370371,35
247,0003BR,01/03/2018,31/03/2018,2446.0,"267,32",30 days,30,81.53333333333333,35
248,0003BR,01/04/2018,30/04/2018,2423.0,"264,79",29 days,29,83.55172413793103,35
249,0003BR,01/05/2018,31/05/2018,2532.0,"276,25",30 days,30,84.4,35
250,0003BR,01/06/2018,30/06/2018,2478.0,"270,43",29 days,29,85.44827586206897,35
251,0003BR,01/07/2018,31/07/2018,2556.0,"278,84",30 days,30,85.2,35
252,0003BR,01/08/2018,31/08/2018,2598.0,"283,15",30 days,30,86.6,35
253,0003BR,01/09/2018,30/09/2018,2453.0,"269,79",29 days,29,84.58620689655173,35
254,0003BR,01/10/2018,31/10/2018,2506.0,"275,51",30 days,30,83.53333333333333,35
255,0003BR,01/11/2018,30/11/2018,2409.0,"265,07",29 days,29,83.06896551724138,35
256,0003BR,01/12/2018,31/12/2018,2455.0,"270,01",30 days,30,81.83333333333333,35
257,0003BR,01/01/2019,31/01/2019,2467.0,"264,75",30 days,30,82.23333333333333,35
258,0003BR,01/02/2019,28/02/2019,2237.0,"240,77",27 days,27,82.85185185185185,35
259,0003BR,01/03/2019,31/03/2019,2494.0,"267,47",30 days,30,83.13333333333334,35
260,0003BR,01/04/2019,30/04/2019,2426.0,"260,39",29 days,29,83.65517241379311,35
261,0003BR,01/05/2019,31/05/2019,2526.0,"270,73",30 days,30,84.2,35
262,0003BR,01/06/2019,30/06/2019,2566.0,"274,67",29 days,29,88.48275862068965,35
263,0003BR,01/07/2019,31/07/2019,2618.0,"280,06",30 days,30,87.26666666666667,35
264,0003BR,01/08/2019,31/08/2019,2615.0,"279,72",30 days,30,87.16666666666667,35
265,0003BR,01/09/2019,30/09/2019,2484.0,"266,17",29 days,29,85.65517241379311,35
266,0003BR,01/10/2019,31/10/2019,2736.0,"291,59",30 days,30,91.2,35
267,0003BR,01/11/2019,30/11/2019,2617.0,"279,31",29 days,29,90.24137931034483,35
268,0003BR,01/12/2019,31/12/2019,2660.0,"283,77",30 days,30,88.66666666666667,35
269,0003BR,01/01/2020,31/01/2020,2662.0,"338,47",30 days,30,88.73333333333333,35
270,0003BR,01/02/2020,29/02/2020,2524.0,"321,27",28 days,28,90.14285714285714,35
271,0003BR,01/03/2020,31/03/2020,2694.0,"340,71",30 days,30,89.8,35
272,0003BR,01/04/2020,30/04/2020,2704.0,"341,86",29 days,29,93.24137931034483,35
273,0003BR,01/05/2020,31/05/2020,2801.0,"353,83",30 days,30,93.36666666666666,35
274,0003BR,01/06/2020,30/06/2020,2743.0,"346,60",29 days,29,94.58620689655173,35
275,0003BR,01/07/2020,31/07/2020,2920.0,"368,35",30 days,30,97.33333333333333,35
276,0003BR,01/08/2020,31/08/2020,2872.0,"362,49",30 days,30,95.73333333333333,35
277,0003BR,01/09/2020,30/09/2020,2818.0,"355,93",29 days,29,97.17241379310344,35
278,0003BR,01/10/2020,31/10/2020,2862.0,"361,39",30 days,30,95.4,35
279,0003BR,01/11/2020,30/11/2020,2739.0,"346,21",29 days,29,94.44827586206897,35
280,0003KO,01/01/2018,31/03/2018,6293.0,"985,04",89 days,89,70.70786516853933,11
281,0003KO,01/04/2018,30/06/2018,7082.0,"1 118,25",90 days,90,78.68888888888888,11
282,0003KO,01/07/2018,30/09/2018,6740.0,"1 066,96",91 days,91,74.06593406593407,11
283,0003KO,01/10/2018,31/12/2018,8423.0,"1 331,26",91 days,91,92.56043956043956,11
284,0003KO,01/01/2019,31/03/2019,7883.0,"1 373,30",89 days,89,88.57303370786516,11
285,0003KO,01/04/2019,30/06/2019,7024.0,"1 229,28",90 days,90,78.04444444444445,11
286,0003KO,01/07/2019,30/09/2019,7143.0,"1 251,45",91 days,91,78.49450549450549,11
287,0003KO,01/10/2019,31/12/2019,7707.0,"1 345,33",91 days,91,84.6923076923077,11
288,0003KO,01/01/2020,31/03/2020,6561.0,"1 058,29",90 days,90,72.9,11
289,0003KO,01/04/2020,30/06/2020,7511.0,"1 220,24",90 days,90,83.45555555555555,11
290,0003KO,01/07/2020,30/09/2020,7823.0,"1 270,14",91 days,91,85.96703296703296,11
291,0004BB,01/01/2018,31/01/2018,14414.0,"1 369,33",30 days,30,480.46666666666664,36
292,0004BB,01/02/2018,28/02/2018,12328.0,"1 171,16",27 days,27,456.5925925925926,36
293,0004BB,01/03/2018,31/03/2018,12849.0,"1 220,66",30 days,30,428.3,36
294,0004BB,01/04/2018,30/04/2018,14535.0,"1 380,83",29 days,29,501.2068965517241,36
295,0004BB,01/05/2018,31/05/2018,14547.0,"1 381,97",30 days,30,484.9,36
296,0004BB,01/06/2018,30/06/2018,14379.0,"1 366,01",29 days,29,495.82758620689657,36
297,0004BB,01/07/2018,31/07/2018,15907.0,"1 511,17",30 days,30,530.2333333333333,36
298,0004BB,01/08/2018,31/08/2018,15701.0,"1 491,60",30 days,30,523.3666666666667,36
299,0004BB,01/09/2018,30/09/2018,15544.0,"1 476,68",29 days,29,536.0,36
